name,tags,sugar_g,cholesterol_mg,meal_type,sodium_mg,calories,protein_g,fiber_g,fat_g,serving_size_g,for_diabetes,for_hypertension,for_cholesterol,vegan_friendly,gluten_free,nut_allergy_safe,soy_allergy_safe,lactose_allergy_safe,gluten_allergy_safe,egg_allergy_safe,for_weight_loss,for_weight_gain,for_weight_maintenance,recipe
Oatmeal with Berries,"vegetarian, sweet",7.0,5,breakfast,106,180,6,4.0,3,150,True,True,True,False,False,True,True,True,True,True,True,False,False,Prepare and cook Oatmeal with Berries as desired.
Avocado Toast,"vegetarian, gluten-free",2.0,0,breakfast,157,220,5,5.0,10,120,True,False,True,False,True,True,True,True,False,True,True,False,False,"Toast bread, top with ingredients."
Vegan Smoothie,"vegan, drink",9.0,0,breakfast,89,160,3,2.0,1,250,True,True,True,True,False,True,True,True,True,True,True,False,False,Prepare and cook Vegan Smoothie as desired.
Boiled Eggs,high-protein,1.0,300,breakfast,160,150,13,0.0,10,100,True,False,False,False,False,True,True,True,True,True,True,False,False,Prepare and cook Boiled Eggs as desired.
Chia Pudding,"vegan, sweet",4.0,0,breakfast,63,140,4,6.0,5,100,True,True,True,True,False,True,True,True,True,True,True,False,False,Prepare and cook Chia Pudding as desired.
Greek Yogurt Parfait,"vegetarian, sweet, dairy",10.0,10,breakfast,97,200,12,1.0,5,150,True,True,True,False,False,True,True,True,True,True,True,False,False,"Layer yogurt, fruit, and granola in a glass."
Protein Pancakes,"high-protein, sweet, egg",6.0,30,breakfast,136,290,20,2.0,6,180,True,True,True,False,False,True,True,True,True,False,True,False,False,"Mix batter, cook on griddle until golden."
Almond Butter Toast,"vegetarian, gluten-free, nut",4.0,0,breakfast,142,240,7,3.0,12,100,True,False,True,False,True,True,True,True,False,True,True,False,False,"Toast bread, top with ingredients."
Spinach Omelette,"vegetarian, high-protein, egg",1.0,220,breakfast,117,210,14,1.0,10,140,True,True,False,False,False,True,True,True,True,False,True,False,False,"Beat eggs, cook in pan with fillings, fold and serve."
Quinoa Salad,"vegan, gluten-free",3.0,0,lunch,107,250,8,5.0,9,200,True,True,True,True,True,True,True,True,False,True,True,False,False,Chop vegetables and mix with dressing.
Grilled Chicken Breast,"high-protein, grill",0.0,85,lunch,149,290,31,0.0,6,180,True,False,False,False,False,True,True,True,True,True,True,False,False,Prepare and cook Grilled Chicken Breast as desired.
Vegan Wrap,"vegan, wrap",7.0,0,lunch,94,250,12,4.0,10,200,True,True,True,True,False,True,True,True,True,True,True,False,False,Prepare and cook Vegan Wrap as desired.
Tofu Salad,"vegan, salad, soy",5.0,0,lunch,149,220,17,6.0,8,180,True,False,True,True,False,True,False,True,True,True,True,False,False,Chop vegetables and mix with dressing.
Lentil Soup,"vegan, soup",2.0,0,lunch,117,180,9,7.0,3,300,True,True,True,True,False,True,True,True,True,True,True,False,False,"Combine ingredients in pot, simmer until cooked."
Chickpea Buddha Bowl,"vegan, gluten-free",5.0,0,lunch,130,270,10,6.0,9,250,True,True,True,True,True,True,True,True,False,True,True,False,False,Prepare and cook Chickpea Buddha Bowl as desired.
Turkey Sandwich,"meat, sandwich, gluten",3.0,40,lunch,507,350,22,3.0,13,200,True,False,True,False,False,True,True,True,False,True,False,False,True,Prepare and cook Turkey Sandwich as desired.
Zucchini Noodles,"low-carb, vegan",2.0,0,lunch,86,180,4,3.0,4,180,True,True,True,True,False,True,True,True,True,True,True,False,False,Prepare and cook Zucchini Noodles as desired.
Eggplant Parmesan,"vegetarian, italian, dairy",6.0,35,lunch,417,320,12,4.0,15,230,True,False,True,False,False,True,True,True,True,True,False,False,True,Prepare and cook Eggplant Parmesan as desired.
Grilled Salmon,"fish, grill",0.0,60,dinner,116,360,34,0.0,15,200,True,True,True,False,False,True,True,True,True,True,False,False,True,Prepare and cook Grilled Salmon as desired.
Veggie Stir Fry,"vegan, asian",5.0,0,dinner,98,210,7,4.0,6,220,True,True,True,True,False,True,True,True,True,True,True,False,False,Prepare and cook Veggie Stir Fry as desired.
Beef Burger,"beef, grill, gluten",12.0,80,dinner,558,550,30,2.0,25,250,False,False,False,False,False,True,True,True,False,True,False,True,False,Prepare and cook Beef Burger as desired.
Gluten-Free Pasta,"gluten-free, pasta",3.0,10,dinner,150,300,9,3.0,11,220,True,False,True,False,True,True,True,True,False,True,True,False,False,"Boil pasta/rice, prepare sauce, then mix."
Stuffed Peppers,"vegetarian, low-fat",4.0,5,dinner,148,230,8,4.0,7,180,True,False,True,False,False,True,True,True,True,True,True,False,False,Prepare and cook Stuffed Peppers as desired.
Chicken Stir Fry,"high-protein, asian",4.0,70,dinner,240,370,26,3.0,11,220,True,False,True,False,False,True,True,True,True,True,False,False,True,Prepare and cook Chicken Stir Fry as desired.
Black Bean Tacos,"vegan, mexican",2.0,0,dinner,175,290,11,6.0,7,200,True,False,True,True,False,True,True,True,True,True,True,False,False,Prepare and cook Black Bean Tacos as desired.
Baked Cod,"fish, low-fat",1.0,50,dinner,124,250,22,0.0,5,190,True,True,True,False,False,True,True,True,True,True,True,False,False,Prepare and cook Baked Cod as desired.
Sweet Potato Curry,"vegan, indian",8.0,0,dinner,149,310,6,5.0,12,260,True,False,True,True,False,True,True,True,True,True,False,False,True,Prepare and cook Sweet Potato Curry as desired.
Oatmeal with Berries,"vegetarian, sweet",7.0,5,breakfast,99,190,7,4.0,4,150,True,True,True,False,False,True,True,True,True,True,True,False,False,Prepare and cook Oatmeal with Berries as desired.
Avocado Toast,"vegetarian, gluten-free",2.0,0,breakfast,167,230,6,5.0,11,120,True,False,True,False,True,True,True,True,False,True,True,False,False,"Toast bread, top with ingredients."
Vegan Smoothie,"vegan, drink",9.0,0,breakfast,87,170,4,2.0,2,250,True,True,True,True,False,True,True,True,True,True,True,False,False,Prepare and cook Vegan Smoothie as desired.
Boiled Eggs,high-protein,1.0,300,breakfast,154,160,14,0.0,11,100,True,False,False,False,False,True,True,True,True,True,True,False,False,Prepare and cook Boiled Eggs as desired.
Chia Pudding,"vegan, sweet",4.0,0,breakfast,41,150,5,6.0,6,100,True,True,True,True,False,True,True,True,True,True,True,False,False,Prepare and cook Chia Pudding as desired.
Greek Yogurt Parfait,"vegetarian, sweet, dairy",10.0,10,breakfast,82,210,13,1.0,6,150,True,True,True,False,False,True,True,True,True,True,True,False,False,"Layer yogurt, fruit, and granola in a glass."
Protein Pancakes,"high-protein, sweet, egg",6.0,30,breakfast,131,300,21,2.0,7,180,True,True,True,False,False,True,True,True,True,False,True,False,False,"Mix batter, cook on griddle until golden."
Almond Butter Toast,"vegetarian, gluten-free, nut",4.0,0,breakfast,143,250,8,3.0,13,100,True,False,True,False,True,True,True,True,False,True,True,False,False,"Toast bread, top with ingredients."
Spinach Omelette,"vegetarian, high-protein, egg",1.0,220,breakfast,112,220,15,1.0,11,140,True,True,False,False,False,True,True,True,True,False,True,False,False,"Beat eggs, cook in pan with fillings, fold and serve."
Quinoa Salad,"vegan, gluten-free",3.0,0,lunch,92,260,9,5.0,10,200,True,True,True,True,True,True,True,True,False,True,True,False,False,Chop vegetables and mix with dressing.
Grilled Chicken Breast,"high-protein, grill",0.0,85,lunch,157,300,32,0.0,7,180,True,False,False,False,False,True,True,True,True,True,True,False,False,Prepare and cook Grilled Chicken Breast as desired.
Vegan Wrap,"vegan, wrap",7.0,0,lunch,118,260,13,4.0,11,200,True,True,True,True,False,True,True,True,True,True,True,False,False,Prepare and cook Vegan Wrap as desired.
